0	12381.5776303
10	11174.7744533
20	9518.78779966
30	7364.843869
40	5199.7516411
50	3135.45860081
60	1457.63986509
70	380.90015595
80	109.624922932
90	524.434483009
100	1736.34729627
110	3457.36568382
120	5393.91781816
130	7640.29971349
140	9496.02669278
150	11065.1495303
160	12031.7998042
170	12343.9521271
180	11866.8979074
190	10622.0047148
200	8747.23272767
210	6751.6875204
220	4857.87052551
230	3011.43379393
240	1395.85971784
250	375.326007326
260	112.411997244
270	553.698763283
280	1746.10205636
290	3513.57168244
300	5543.49080622
310	7827.49820477
320	9908.51369093
330	11534.3070395
340	12559.4858739
350	12824.2579335
360	12416.4160592
