0	6947.711747
10	7039.68519929
20	7040.61422406
30	7077.77521488
40	7084.74290066
50	6993.23396076
60	7004.38225801
70	6940.74406122
80	6871.99622819
90	6802.78388278
100	6743.79080985
110	6684.33322453
120	6663.89467958
130	6667.14626627
140	6701.0556704
150	6762.37130526
160	6836.69328691
170	6930.06027636
180	7009.02738186
190	7071.73655388
200	7120.51035433
210	7130.72962681
220	7114.00718094
230	7068.94947956
240	7015.06604287
250	6943.06662315
260	6878.49940159
270	6805.5709571
280	6749.82947086
290	6711.27494288
300	6695.48152178
310	6703.37823233
320	6727.53287636
330	6775.84216444
340	6842.26743553
350	6930.52478874
360	6994.62749791
