0	122.63126972
10	577.388894933
20	1800.91451783
30	3729.10542922
40	6028.44173648
50	8406.28063685
60	10432.0191492
70	12375.0744569
80	13477.3623472
90	13811.3467523
100	13315.2475248
110	12067.5672578
120	10155.1697675
130	7827.96271715
140	5473.34943604
150	3406.26932144
160	1549.14880499
170	434.31908026
180	121.237732564
190	611.762811446
200	1959.7777536
210	3823.86595583
220	6002.89355529
230	8454.12541254
240	10696.7912088
250	12451.2544881
260	13537.2844449
270	13814.1338266
280	13315.7120371
290	12050.844812
300	10277.3365249
310	7965.4583832
320	5578.32923512
330	3405.34029667
340	1564.94222609
350	418.990171545
360	119.844195409
